,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
0,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
UNFURNISHED 2 BEDROOM APARTMENTS FOR SALE
",Olympia Gold Real Estate,"
KSh 15,500,000
"
1,"
4 ac land for sale in Kilimani
","

Argwing Kodhek, Kilimani, Dagoretti North

","
4 ac
",-,-,"
4 ac land for Sale in Kilimani
",-,"
KSh 1,600,000
"
2,"
3 bedroom apartment for sale in Lavington
","

James Gichuri road, Kingara road, Lavington, Dagoretti North

",-,"
3
","








2

","
3 bedroom apartment for sale
",Aqua Property Solutions,"
KSh 12,500,000
"
3,"
5 bedroom villa for sale in Runda
","

Runda, Westlands

",-,"
5
","








7

","
5 Bedroom Ambassadorial House for Sale in Runda
",HAMMOCK & PALMS AFRICA,"
KSh 320,000,000
"
4,"
4 bedroom apartment for sale in Lavington
","

 Lavington, Dagoretti North

",-,"
4
","








5

","
4 bedroom plus SQ apartment for sale in lavingt...
",Sarabi Realty Group,"
KSh 17,000,000
"
5,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
115 m²
","
3
","








2

","
3BEDROOM APARTMENT FOR SALE IN KILIMANI
",Prelax Properties,"
KSh 9,900,000
"
6,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
BEAUTIFUL 2BEDROOM APARTMENT FOR SALE IN KILIMA...
",Prelax Properties,"
KSh 8,800,000
"
7,"
3 bedroom apartment for sale in Kileleshwa
","

othaya road, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
EXQUISITE 3BED APARTMENT FOR SALE IN KILELESHWA
",Prelax Properties,"
KSh 11,500,000
"
8,"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
3
","








4

","
A New Project, 3 bedroom Duplex apartment for s...
",Ge-Mac Property Solutions,"
KSh 44,000,000
"
9,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
85 m²
","
2
","








2

","
AFFORDABLE AND EXQUISITE 2BEDROOM APARTMENT FOR...
",Prelax Properties,"
KSh 6,990,000
"
10,"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

","
140 m²
","
3
","








3

","
3 bedroom Apartments
",Detiland Company Limited,"
KSh 13,500,000
"
11,"
4 bedroom apartment for sale in Kileleshwa
","

Othaya road, Kileleshwa, Dagoretti North

","
245 m²
","
4
","








5

","
4 BEDROOM ALL ENSUITE + DSQ IN KILELESHWA
",Abode Realty,"
KSh 25,000,000
"
12,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
107 m²
","
2
","








2

","
EXQUISITE 2BEDROOM APARTMENT FOR SALE IN KILIMA...
",Prelax Properties,"
KSh 8,000,000
"
13,"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
4
","








5

","
Duplex apartment with 4 bedrooms for sale in Ri...
",Ge-Mac Property Solutions,"
KSh 54,000,000
"
