property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
"
1 bedroom apartment for sale in Westlands Area
","

4Th Parklands Avenue, Westlands Area, Westlands

",-,"
1
","








1

","
PRIMO PARK 1 & 3 BED APARTMENTS IN PARKLANDS -...
",Primofort Investment,"
KSh 8,000,000
"
"
2 bedroom apartment for sale in Hurlingham
","

Argwings Kodhek, Hurlingham, Dagoretti North

",-,"
2
",-,"
TWO BEDROOM APARTMENT - TYPE A
",Golden Compass,"
KSh 14,500,000
"
"
3 bedroom apartment for sale in South C
","

Off Mombasa Road, Inside Nexgen Mall, South C, Langata

",-,"
3
","








3

","
Enzi Heights - Inside Nexgen Mall
",Enzi Heights,"
KSh 13,600,000
"
"
3 bedroom apartment for sale in Kilimani
","

Elgeyo Marakwet & Muringa Rd junction, Kilimani, Dagoretti North

","
165 m²
","
3
","








4

","
Modern 3 BR (all en suite) + DSQ Apartment
",Prima Properties Ke,"
KSh 18,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Off Hatheru Road, Lavington, Dagoretti North

",-,"
4
","








4

","
Lavington – 4 Bedroom All en suite Apartment –...
",Zyve,"
KSh 17,000,000
"
"
4 bedroom townhouse for sale in Lavington
","

Muthangari, Kabarsarian Drive, Lavington, Dagoretti North

",-,"
4
","








4

","
Lavington – Muthangari : 4 Bedroom Town House –...
",Zyve,"
KSh 55,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Hatheru Road, Lavington, Dagoretti North

",-,"
3
","








4

","
Affordable Luxury
",Habitat Property Group,"
KSh 22,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Othaya road, Lavington, Dagoretti North

","
177 m²
","
3
","








4

","
3 BEDROOMS ALL ENSUITE FOR SALE IN LAVINGTON
",Abode Realty,"
KSh 16,500,000
"
"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
169 m²
","
4
","








3

","
Spacious 4 bedroom apartment plus DSQ for sale...
",Abode Realty,"
KSh 16,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

LAIKIPIA RD, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








2

","
3 BEDROOMS FOR SALE IN KILELESHWA
",Abode Realty,"
KSh 10,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Vihiga road, Kileleshwa, Dagoretti North

","
201 m²
","
3
","








4

","
MODERN 3 BEDROOM ALL ENSUITE FOR SALE IN KILELE...
",Abode Realty,"
KSh 16,900,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
77 m²
","
2
","








2

","
MODERN 2 BEDROOM APARTMENT FOR SALE IN KILIMANI
",Abode Realty,"
KSh 7,500,000
"
"
1 bedroom apartment for sale in South C
","

Off Mombasa Road, Inside Nexgen Mall, South C, Langata

",-,"
 1
","








1

","
Enzi Heights - Inside Nexgen Mall
",Enzi Heights,"
KSh 7,300,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma road, Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
2 bedroom apartment in kilimani
",Abode Realty,"
KSh 7,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
MODERN AND AFFORDABLE 3 BEDROOM AVAILABLE FOR S...
",Round The Clock Homes,"
KSh 9,900,000
"
"
2 bedroom apartment for sale in South C
","

Off Mombasa Road, Inside Nexgen Mall, South C, Langata

",-,"
2
","








2

","
Enzi Heights - Inside Nexgen Mall
",Enzi Heights,"
KSh 10,450,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kindaruma Rd, Kilimani, Dagoretti North

","
135 m²
","
3
","








3

","
3 BR + DSQ 135 SQM from 13.8 M
",Prima Properties Ke,"
KSh 13,800,000
"
"
Furnished 2 bedroom apartment for sale in Upper Hill
","

Upperhill, Upper Hill, Langata

","
95 m²
","
2
","








2

","
2 Bedroom Furnished Apartment for Sale in Upper...
",Sky Limits Ventures,"
KSh 13,600,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
2766 ft²
","
4
","








6

","
Spacious 4BR + Dsq All Ensuite
",Alphagate Real Estate,"
KSh 23,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

KILIMANI, KILIMANI, Kilimani, Dagoretti North

","
85 m²
","
2
","








2

","
2 BEDROOM FOR SALE
",Round The Clock Homes,"
KSh 7,500,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
3
","








4

","
A New Project, 3 bedroom Duplex apartment for s...
",Ge-Mac Property Solutions,"
KSh 44,000,000
"
"
6 bedroom house for sale in Kitisuru
","

Kinanda Road, Kitisuru, Westlands

",-,"
6
","








7
 
","
A House for sale in Kitisuru
",The HouSwitch Haven Ltd,"
KSh 130,000,000
"
"
1 bedroom apartment for sale in Kasarani Area
","

Off Kasarani Mwiki Rd, Off Kasarani Mwiki Road, Kasarani Area, Kasarani

","
431 ft²
","
1
","








1

","
A One Bedroom apartment for sale in Kasarani
",The HouSwitch Haven Ltd,"
KSh 4,000,000
"
"
2 bedroom apartment for sale in Kasarani Area
","

off Kasarani Mwiki Rd, Kasarani Area, Kasarani

","
646 ft²
","
2
","








1

","
2 Bedroom apartment for sale in Kasarani
",The HouSwitch Haven Ltd,"
KSh 5,200,000
"
"
2 bedroom apartment for sale in Madaraka
","

Ole sangare Road, Madaraka, Langata

",-,"
2
","








1

","
A 2 Bedroom apartment for sale in Madaraka
",The HouSwitch Haven Ltd,"
 KSh 7,500,000
"
"
3 bedroom apartment for sale in Madaraka
","

Off Olesangale road, Madaraka, Langata

",-,"
 3
","








2

","
A 3 Bedroom unit for sale in Madaraka
",The HouSwitch Haven Ltd,"
KSh 9,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
A 3BR (Plus Sq) Apartments for sale in Kilelesh...
",The HouSwitch Haven Ltd,"
KSh 17,500,000
"
"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
4
","








5

","
Newly Built! Duplex apartment with 4 bedrooms f...
",Ge-Mac Property Solutions,"
KSh 50,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 12,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kileleshwa
",Sarabi Realty Group,"
KSh 7,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 8,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 7,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
1 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 4,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 10,000,000
"
"
2 bedroom apartment for sale in Westlands Area
","

General Mathenge, Westlands Area, Westlands

",-,"
2
",-,"
GREENVILLE GARDENS –GENERAL MATHENGE
",Primofort Investment,"
KSh 12,500,000
"
