,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price,property_price_currency,property_price_amount
0,4 ac land for sale in Kilimani,"Argwings kodhek, Kilimani, Dagoretti North",4 ac,-,-,4 ac land for sale in Kilimani,-,"KSh 1,600,000,000",KSh,1600000000.0
1,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,4,3 bedroom + DSQ apartment for sale in Lavington,Upper Deck Homes,"KSh 19,000,000",KSh,19000000.0
2,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,4,5,4 bedroom plus sq apartment for sale in lavingt...,Sarabi Realty Group,"KSh 17,000,000",KSh,17000000.0
3,2 bedroom apartment for sale in Kilimani,"KILIMANI, KILIMANI, Kilimani, Dagoretti North",108 m²,2,2,MODERN AND AFFORDABLE 2 BEDROOM FOR SALE,Round The Clock Homes,"KSh 8,800,000",KSh,8800000.0
4,3 bedroom apartment for sale in Rhapta Road,"Rhapta Road, Westlands",-,3,4,Rhapta Road 3 bedroom apartment for sale at 16....,Phillavilla,"KSh 16,500,000",KSh,16500000.0
5,3 bedroom apartment for sale in Ngong Road,"Ngong Road, Ngong Road",-,3,3,Ngong Road 3 bedroom apartment for sale at 13.5...,Phillavilla,"KSh 13,500,000",KSh,13500000.0
6,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,2,3,Kileleshwa 2 bedroom all-ensuite for sale at 14...,Phillavilla,"KSh 14,500,000",KSh,14500000.0
7,4 bedroom townhouse for sale in Spring Valley,"Spring Valley, Westlands",-,4,5,Spring Valley 4 Bedroom Townhouse plus Dsq for...,Phillavilla,"KSh 90,000,000",KSh,90000000.0
8,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,2,Lavington 3 bedroom apartment for sale at 13 Mi...,Phillavilla,"KSh 13,000,000",KSh,13000000.0
9,2 bedroom apartment for sale in Naivasha Road,"Naivasha Road, Dagoretti North",-,2,2,Naivasha road 2 bedroom for sale at 6.95M,Phillavilla,"KSh 6,950,000",KSh,6950000.0
10,3 bedroom apartment for sale in Mountain View,"Mountain View, Westlands",-,"3
 ",2,Waiyaki Way 3 bedroom for sale at 10M,Phillavilla,"KSh 10,000,000",KSh,10000000.0
11,1 bedroom apartment for sale in Kiambu Road,"Kitsuru (Mwimuto), Kiambu Road, Kiambu Road",-,1,1,1 bedroom Apartment for Sale,Edville Properties,"KSh 2,500,000",KSh,2500000.0
12,2 bedroom apartment for sale in Mountain View,"Mountain View, Westlands",-,2,2,Mountain View 2 bedroom apartment for sale at 9...,Phillavilla,"KSh 9,000,000",KSh,9000000.0
13,3 bedroom apartment for sale in Westlands Area,"Westlands Area, Westlands",-,3,4,Westlands 3 bedroom apartment plus DSQ for sale...,Phillavilla,"KSh 24,000,000",KSh,24000000.0
14,3 bedroom townhouse for sale in Kiambu Road,"Kiambu Road, Kiambu Road",-,3,3,Kiambu Road 3 Bedroom Townhouse plus Dsq for sa...,Phillavilla,"KSh 28,000,000",KSh,28000000.0
15,2 bedroom apartment for sale in Highrise,"Highrise, Dagoretti South",-,2,1,Mbagathi Way 2 bedroom apartment for sale at 6....,Phillavilla,"KSh 6,500,000",KSh,6500000.0
16,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,2,Kileleshwa 3 bedroom apartment for sale at 14 M...,Phillavilla,"KSh 14,000,000",KSh,14000000.0
17,2 bedroom apartment for sale in Westlands Area,"General Mathenge, Westlands Area, Westlands",-,2,-,GREENVILLE GARDENS –GENERAL MATHENGE,Primofort Investment,"KSh 12,500,000",KSh,12500000.0
18,3 bedroom apartment for sale in Kilimani,"Northcote Apartments, Kilimani, Dagoretti North",558 m²,3,2,3 Bedroom Apartments With SQ for Sale at Nort...,Crystal Valuers LTD,"KSh 20,000,000",KSh,20000000.0
19,6 bedroom house for sale in Kitisuru,"Kitisuru, Westlands",-,6,6,A MAGNIFICENT RESIDENCE IN KITISURU,Ricville Properties,"KSh 150,000,000",KSh,150000000.0
20,1 bedroom apartment for sale in Westlands Area,"Westlands Area, Westlands",-,1,1,Westlands 1 bedroom apartment for sale at 9.1Mi...,Phillavilla,"KSh 9,100,000",KSh,9100000.0
21,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",100 m²,2,2,2 BEDROOMS APARTMENT (READY FOR OCCUPATION) IN...,Abode Realty,"KSh 8,500,000",KSh,8500000.0
22,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,4,3 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 10,000,000",KSh,10000000.0
23,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,4,3 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 9,500,000",KSh,9500000.0
24,2 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,2,3,2 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 8,000,000",KSh,8000000.0
25,1 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,1,1,1 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 4,200,000",KSh,4200000.0
26,Furnished 4 bedroom apartment for sale in Southlands,"sand valley, Southlands, Langata",1 ac,4,5,HOUSE FOR RENT FOR SALE IN LANAGAT,UMATI HOMES LTD,"KSh 100,000,000",KSh,100000000.0
27,1 bedroom apartment for sale in Garden Estate,"Garden Estate, Roysambu",58 m²,2,2,"Beautiful 1, 2, 3 Bedroom Apartments For Sale i...",Azizi Realtors,"KSh 12,000,000",KSh,12000000.0
28,"4 bedroom house for sale in Loresho
 ","Loresho, Westlands",-,4,5,AN ARCHITECTURAL MASTERPIECE SITTING IN A PRIVA...,Ricville Properties,"KSh 105,000,000",KSh,105000000.0
29,Studio apartment for sale in Westlands Area,"Westlands Area, Westlands",-,0,1,Westlands Studio for Sale at 4.5Million,Phillavilla,"KSh 4,500,000",KSh,4500000.0
30,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",140 m²,2,2,2 Bedrooms apartment for sale,Abode Realty,"KSh 15,800,000",KSh,15800000.0
